Year,Total_Pop,Area_Pop,OutsideTheArea_Pop,Rate_Pop,OutsideTheArea_Rate_Pop,Rate_Pop_Change,Area,OutsideTheArea,Rate_Pop_Change_Change,Pop_Area_Density,Pop_OutsideTheArea_Density,Rate_Density_Change,Pop_OutsideTheArea_Rate_Density_Change,Area_Pop_Difference,Rate_Target_Pop_Difference,Rate_Area_Appropriateness_Sp,Rate_Area_Appropriateness_Sr,Pop_Area_Age0-14s,Pop_Area_Age15-64s,Pop_Area_Age65AndOver,Pop_Area_Age75AndOver,Pop_Area_Age85AndOver,Pop_Area_Age95AndOver,Rate_Pop_Area_Age0-14s,Rate_Pop_Area_Age15-64s,Rate_Pop_Area_Age65AndOver,Rate_Pop_Area_Age75AndOver,Rate_Pop_Area_Age85AndOver,Rate_Pop_Area_Age95AndOver,Rate_Pop_Area_Change_Age0-14s,Rate_Pop_Area_Change_Age15-64s,Rate_Pop_Area_Change_Age65AndOver,Rate_Pop_Area_Change_Age75AndOver,Rate_Pop_Area_Change_Age85AndOver,Rate_Pop_Area_Change_Age95AndOver,Rate_Pop_Area_Density_Age0-14s,Rate_Pop_Area_Density_Age15-64s,Rate_Pop_Area_Density_Age65AndOver,Rate_Pop_Area_Density_Age75AndOver,Rate_Pop_Area_Density_Age85AndOver,Rate_Pop_Area_Density_Age95AndOver,Rate_Pop_Area_Change_Density_Age0-14s,Rate_Pop_Area_Change_Density_Age15-64s,Rate_Pop_Area_Change_Density_Age65AndOver,Rate_Pop_Area_Change_Density_Age75AndOver,Rate_Pop_Area_Change_Density_Age85AndOver,Rate_Pop_Area_Change_Density_Age95AndOver
2010,511739,207958,303781,40.60,59.40,―,4671,37066,―,44.5,8.2,―,―,,,,,0,0,0,0,0,0,0,0,0,0,0,0,―,―,―,―,―,―,0,0,0,0,0,0,―,―,―,―,―,―
2015,518594,221146,297448,42.60,57.40,106.34,4671,37066,2.01,47.3,8,106,98,,,,,32369,159440,54038,25667,0,0,7.4,36.45,12.35,5.87,0,0,―,―,―,―,―,―,4.5,22,7.4,3.5,0,0,―,―,―,―,―,―
2020,518757,241222,277535,46.50,53.50,109.08,4671,37066,3.86,51.6,7.5,109,93,,,100.23,0.34,30163,149088,56701,28919,9383,711,6.88,33.99,12.93,6.59,2.14,0.16,-7,-6.7,4.7,12.3,―,―,4.2,20.5,7.8,4,1.3,0.1,-6.7,-6.8,5.4,14.3,―,―
